date,pm25
2021-10-18,93.0
2021-10-19,122.0
2021-10-20,133.0
2021-10-21,130.0
2021-10-22,104.0
2021-10-23,128.0
2021-10-24,76.0
2021-10-25,98.0
2021-10-26,121.0
2021-10-27,140.0
2021-10-28,143.0
2021-10-29,128.0
2021-10-30,76.0
2021-10-31,75.0
2021-11-01,65.0
2021-11-02,65.0
2021-11-03,130.0
2021-11-04,135.0
2021-11-05,130.0
2021-11-06,93.0
2021-11-07,143.0
2021-11-08,160.0
2021-11-09,116.0
2021-11-10,100.0
2021-11-11,115.0
2021-11-12,344.0
2021-11-13,625.0
2021-11-14,552.0
2021-11-15,286.0
2021-11-16,100.0
2021-11-17,107.0
2021-11-18,107.0
2021-11-19,107.0
2021-11-20,105.0
2021-11-21,102.0
2021-11-22,102.0
2021-11-23,102.0
2021-11-24,102.0
2021-11-25,102.0
2021-11-26,102.0
2021-11-27,102.0
2021-11-28,102.0
2021-11-29,102.0
2021-11-30,102.0
2021-12-01,102.0
2021-12-02,102.0
2021-12-03,102.0
2021-12-04,102.0
2021-12-05,102.0
2021-12-06,102.0
2021-12-07,254.0
2021-12-08,591.0
2021-12-09,447.0
2021-12-10,117.0
2021-12-11,397.0
2021-12-12,108.0
2021-12-13,106.0
2021-12-14,235.0
2021-12-15,116.0
2021-12-16,112.0
2021-12-17,103.0
2021-12-18,304.0
2021-12-19,487.0
2021-12-20,153.0
2021-12-21,96.0
2021-12-22,204.5
2021-12-23,204.5
2021-12-24,120.0
2021-12-25,548.0
2021-12-26,266.0
2021-12-27,204.5
2021-12-28,204.5
2021-12-29,204.5
2021-12-30,59.0
2021-12-31,85.0
