date,pm25
2023-01-01,127.0
2023-01-02,146.0
2023-01-03,144.0
2023-01-04,150.0
2023-01-05,146.0
2023-01-06,51.0
2023-01-07,61.0
2023-01-08,89.0
2023-01-09,84.0
2023-01-10,82.0
2023-01-11,80.0
2023-01-12,82.0
2023-01-13,87.0
2023-01-14,83.0
2023-01-15,88.8
2023-01-16,88.8
2023-01-17,88.8
2023-01-18,76.0
2023-01-19,81.0
2023-01-20,78.0
2023-01-21,78.0
2023-01-22,83.0
2023-01-23,77.0
2023-01-24,71.0
2023-01-25,68.0
2023-01-26,75.0
2023-01-27,76.0
2023-01-28,80.0
2023-01-29,79.0
2023-01-30,77.0
2023-01-31,75.0
2023-02-01,85.0
2023-02-02,84.0
2023-02-03,80.0
2023-02-04,66.0
2023-02-05,59.0
2023-02-06,136.0
2023-02-07,123.0
2023-02-08,98.0
2023-02-09,97.0
2023-02-10,93.0
2023-02-11,95.0
2023-02-12,97.2
2023-02-13,95.0
2023-02-14,97.0
2023-02-15,104.0
2023-02-16,99.0
2023-02-17,96.0
2023-02-18,97.0
2023-02-19,96.0
2023-02-20,96.0
2023-02-21,97.0
2023-02-22,102.0
2023-02-23,103.0
2023-02-24,99.0
2023-02-25,99.0
2023-02-26,100.0
2023-02-27,109.0
2023-02-28,120.0
2023-03-01,85.0
2023-03-02,118.0
2023-03-03,141.0
2023-03-04,98.3
2023-03-05,98.3
2023-03-06,136.0
2023-03-07,149.0
2023-03-08,146.0
2023-03-09,126.0
2023-03-10,113.0
2023-03-11,119.0
2023-03-12,94.0
2023-03-13,68.0
2023-03-14,118.0
2023-03-15,118.0
2023-03-16,117.0
2023-03-17,76.0
2023-03-18,63.0
2023-03-19,60.0
2023-03-20,62.0
2023-03-21,81.0
2023-03-22,109.0
2023-03-23,70.0
2023-03-24,71.0
2023-03-25,71.0
2023-03-26,73.0
2023-03-27,68.0
2023-03-28,113.0
2023-03-29,105.0
2023-03-30,73.0
2023-03-31,109.0
2023-04-01,106.1
2023-04-02,106.1
2023-04-03,83.0
2023-04-04,62.0
2023-04-05,75.0
2023-04-06,89.0
2023-04-07,79.0
2023-04-08,101.0
2023-04-09,67.0
2023-04-10,64.0
2023-04-11,69.0
2023-04-12,132.0
2023-04-13,121.0
2023-04-14,149.0
2023-04-15,162.0
2023-04-16,147.0
2023-04-17,141.0
2023-04-18,138.0
2023-04-19,140.0
2023-04-20,148.0
2023-04-21,139.0
2023-04-22,101.0
2023-04-23,89.0
2023-04-24,95.0
2023-04-25,88.0
2023-04-26,88.0
2023-04-27,112.0
2023-04-28,95.0
2023-04-29,126.0
2023-04-30,70.0
2023-05-01,39.0
2023-05-02,55.0
2023-05-03,60.0
2023-05-04,66.0
2023-05-05,61.0
2023-05-06,73.0
2023-05-07,50.0
2023-05-08,68.0
2023-05-09,62.0
2023-05-10,75.9
2023-05-11,105.0
2023-05-12,73.0
2023-05-13,83.0
2023-05-14,73.0
2023-05-15,91.0
2023-05-16,95.0
2023-05-17,127.0
2023-05-18,88.0
2023-05-19,88.0
2023-05-20,75.9
2023-05-21,75.9
2023-05-22,67.0
2023-05-23,75.0
